Amount,Merchant,Timestamp,Description,Category
25.5,Grocery Store A,2023-09-01T10:30:00Z,Weekly groceries and produce,Food
12,Uber,2023-09-01T11:45:00Z,Ride from home to office,Transport
15.99,Netflix,2023-09-02T08:00:00Z,Monthly streaming service subscription,Subscription
65.75,Online Retailer B,2023-09-02T14:20:00Z,New book and a pair of socks,Shopping
80,Electricity Company,2023-09-03T09:10:00Z,Utility bill for September,Utilities
4.5,Coffee Shop C,2023-09-03T16:05:00Z,Morning coffee and a croissant,Food
22,City Bus Co.,2023-09-04T07:55:00Z,Monthly bus pass,Transport
19.99,Spotify,2023-09-04T12:00:00Z,Premium music service,Subscription
120.5,Restaurant D,2023-09-05T20:15:00Z,Dinner with friends,Food
45,Gas Station E,2023-09-06T09:30:00Z,Fuel for the car,Transport
35,Online Clothing Store,2023-09-06T15:45:00Z,New t-shirt and jeans,Shopping
95,Water & Sewer Department,2023-09-07T11:00:00Z,Monthly water bill,Utilities
3.25,Bakery F,2023-09-07T18:00:00Z,A loaf of fresh bread,Food
28,Train Services,2023-09-08T08:10:00Z,Round trip ticket to the city center,Transport
8.99,Hulu,2023-09-08T13:30:00Z,Streaming TV service,Subscription
55,Bookstore G,2023-09-09T10:00:00Z,Two new novels,Shopping
110,Internet Provider,2023-09-10T09:45:00Z,Internet service for the month,Utilities
7.5,Local Cafe,2023-09-10T15:30:00Z,Coffee and a pastry,Food
14,Taxi Service H,2023-09-11T09:05:00Z,Short taxi ride,Transport
10.99,Amazon Prime,2023-09-11T16:00:00Z,Annual Prime subscription renewal,Subscription
150,Department Store I,2023-09-12T11:20:00Z,New kitchen appliance,Shopping
42.3,Corner Market,2023-09-13T09:00:00Z,Snacks and drinks for the road,Food
18.5,Metro Transit,2023-09-13T17:30:00Z,Subway fare,Transport
29.99,YouTube Premium,2023-09-14T08:00:00Z,Ad-free video subscription,Subscription
88,Home Depot,2023-09-14T12:45:00Z,Hardware for a DIY project,Shopping
75,Phone Company,2023-09-15T10:00:00Z,Monthly phone bill,Utilities
6.5,Pizzeria,2023-09-15T19:00:00Z,A slice of pizza and a soda,Food
31,Airport Shuttle,2023-09-16T06:00:00Z,Ride to the airport,Transport
9.99,Audible,2023-09-16T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2023-09-17T14:30:00Z,Running shoes,Shopping
130,Gas & Electric,2023-09-18T09:00:00Z,Combined utility bill,Utilities
4,Deli,2023-09-18T12:00:00Z,Sandwich for lunch,Food
17.5,Bus Pass Office,2023-09-19T08:30:00Z,Weekly bus pass,Transport
14.99,NYT Digital,2023-09-19T10:00:00Z,Online newspaper subscription,Subscription
90,Furniture Store,2023-09-20T16:00:00Z,Small side table,Shopping
105,Water Bill Co.,2023-09-21T10:00:00Z,Quarterly water payment,Utilities
16,Sushi Shop,2023-09-21T20:00:00Z,Takeout dinner,Food
11.5,Uber,2023-09-22T08:45:00Z,Ride to work,Transport
19.99,Apple Music,2023-09-22T13:00:00Z,Family music subscription,Subscription
25,Online Art Store,2023-09-23T11:15:00Z,Digital art prints,Shopping
85,Internet Service,2023-09-24T09:30:00Z,Monthly internet fee,Utilities
5.5,Snack Vending,2023-09-24T14:00:00Z,Quick snack,Food
20,Public Transport,2023-09-25T07:40:00Z,Weekly pass,Transport
15.99,Disney+,2023-09-25T11:00:00Z,Monthly streaming service,Subscription
125,Clothing Store,2023-09-26T16:00:00Z,New jacket,Shopping
90,Gas Bill,2023-09-27T09:00:00Z,Monthly gas charge,Utilities
10,Lunch Spot,2023-09-27T12:30:00Z,Quick lunch,Food
33,Railroad Ticket,2023-09-28T07:00:00Z,Commuter train ticket,Transport
22.99,The Athletic,2023-09-28T10:00:00Z,Sports news subscription,Subscription
75,Electronics Store,2023-09-29T15:00:00Z,New headphones,Shopping
115,City Utilities,2023-09-30T09:00:00Z,Combined water and trash bill,Utilities
6.5,Smoothie Bar,2023-09-30T11:00:00Z,Morning smoothie,Food
18,Uber,2023-10-01T10:00:00Z,Ride to the gym,Transport
10.99,HBO Max,2023-10-01T12:00:00Z,Entertainment subscription,Subscription
50,Etsy,2023-10-02T14:00:00Z,Handmade gift,Shopping
140,Power Company,2023-10-03T09:00:00Z,Electricity bill,Utilities
8,Local Bakery,2023-10-03T16:00:00Z,Afternoon snack,Food
25,Bus Service,2023-10-04T07:30:00Z,Bus fare,Transport
16.99,Peacock,2023-10-04T12:00:00Z,TV streaming service,Subscription
100,Amazon,2023-10-05T15:00:00Z,Misc household items,Shopping
110,Gas & Water,2023-10-06T09:00:00Z,Monthly utility payment,Utilities
9.5,Food Truck,2023-10-06T13:00:00Z,Lunch from a food truck,Food
15,Taxi,2023-10-07T11:00:00Z,Cab ride,Transport
19.99,Apple TV+,2023-10-07T16:00:00Z,Streaming subscription,Subscription
65,Target,2023-10-08T10:00:00Z,Groceries and some home goods,Shopping
95,Internet Bill,2023-10-09T09:00:00Z,Monthly fee,Utilities
4.25,Corner Store,2023-10-09T14:00:00Z,Cold drink and chips,Food
28,Train Ticket,2023-10-10T08:00:00Z,Ticket for the metro,Transport
12.99,Spotify Family,2023-10-10T12:00:00Z,Music subscription,Subscription
70,Home Goods,2023-10-11T16:00:00Z,New lamp,Shopping
130,Electric Company,2023-10-12T09:00:00Z,Utility bill,Utilities
7,Cafe,2023-10-12T11:00:00Z,Morning coffee,Food
11,Uber,2023-10-13T09:00:00Z,Short trip,Transport
15.99,Hulu No Ads,2023-10-13T13:00:00Z,Streaming service,Subscription
80,Bookstore,2023-10-14T10:00:00Z,Books,Shopping
105,Water Bill,2023-10-15T09:00:00Z,Water and sewer,Utilities
3.5,Deli,2023-10-15T12:00:00Z,Lunch,Food
17,Bus Pass,2023-10-16T08:00:00Z,Weekly pass,Transport
8.99,Audible,2023-10-16T11:00:00Z,Audiobook subscription,Subscription
55,Grocery Store,2023-10-17T15:00:00Z,Groceries,Food
125,Clothing Store,2023-10-18T10:00:00Z,New jeans,Shopping
85,Internet Provider,2023-10-19T09:00:00Z,Monthly internet service,Utilities
25,Pizzeria,2023-10-19T19:00:00Z,Pizza,Food
14,Taxi,2023-10-20T11:00:00Z,Cab fare,Transport
19.99,Spotify,2023-10-20T14:00:00Z,Premium music service,Subscription
90,Home Decor,2023-10-21T16:00:00Z,New curtains,Shopping
115,Utilities,2023-10-22T09:00:00Z,Combined bill,Utilities
6,Coffee Shop,2023-10-22T10:00:00Z,Coffee,Food
18.5,Metro,2023-10-23T08:00:00Z,Subway fare,Transport
15.99,Netflix,2023-10-23T12:00:00Z,Monthly streaming service,Subscription
75,Electronics,2023-10-24T15:00:00Z,Computer mouse,Shopping
100,Gas Company,2023-10-25T09:00:00Z,Monthly gas bill,Utilities
8.5,Restaurant,2023-10-25T19:00:00Z,Dinner,Food
22,Bus Fare,2023-10-26T07:00:00Z,Round trip ticket,Transport
10.99,Amazon Prime,2023-10-26T14:00:00Z,Subscription renewal,Subscription
120,Clothing Store,2023-10-27T16:00:00Z,New jacket,Shopping
130,Internet Bill,2023-10-28T09:00:00Z,Monthly fee,Utilities
5.25,Bakery,2023-10-28T11:00:00Z,Pastries,Food
13,Uber,2023-10-29T10:00:00Z,Ride to the mall,Transport
8.99,Hulu,2023-10-29T13:00:00Z,Streaming service,Subscription
60,Sporting Goods,2023-10-30T15:00:00Z,Running shorts,Shopping
95,Water Bill,2023-10-31T09:00:00Z,Quarterly bill,Utilities
3,Snack,2023-10-31T14:00:00Z,Chips and soda,Food
